batter,avg_total_runs,avg_strike_rate,avg_runs_vs_team,avg_runs_at_stadium,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
KJ Abbott,12.0,200.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KK Ahmed,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KK Cooper,17.0,144.11764705882354,11.25,9.857142857142858,0.0,0.0,0.0,17.0,0.0,0.0,6.5,0.0,2.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,26.0
KK Nair,20.4,125.32976827094474,24.305050505050502,18.21017316017316,20.4,0.0,1.0,42.833333333333336,17.0,0.0,13.0,0.0,18.7,0.0,15.636363636363637,0.0,0.0,17.0,64.0,36.5,21.09090909090909,0.0,24.5
KL Nagarkoti,0.0,0.0,3.5,2.208333333333333,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.0,0.0,0.0
KL Rahul,39.5,123.76325675337831,32.52565737833595,34.248116883116886,39.5,0.0,27.9,29.6,25.5,27.25,22.0,0.0,36.785714285714285,0.0,53.0,0.0,26.75,44.5625,0.0,22.5,44.857142857142854,20.0,35.15384615384615
KM Asif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KM Jadhav,13.714285714285714,129.3877551020408,15.95230364873222,11.808201240362363,13.714285714285714,0.0,16.25,30.0,34.5,0.0,1.4285714285714286,0.0,11.0,0.0,16.0,25.0,12.0,12.181818181818182,12.5,0.0,20.666666666666668,0.0,18.09090909090909
KMA Paul,1.5,18.75,3.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
KMDN Kulasekara,5.0,166.66666666666669,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Appanna,1.0,100.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,16.5,82.41758241758242,27.309956709956708,24.83868092691622,16.5,47.666666666666664,0.0,26.5,37.0,0.0,37.6,0.0,9.5,0.0,27.142857142857142,29.5,0.0,27.0,0.0,0.0,16.5,0.0,25.5
KR Mayers,33.5,139.32461873638346,32.5625,30.857142857142858,33.5,0.0,73.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,18.0,0.0,41.5,51.0,0.0,0.0,0.0,0.0,7.5
KR Sen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS Bharat,8.0,160.0,27.416666666666668,19.58333333333333,8.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,32.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,12.0
KS Sharma,9.0,56.25,5.333333333333333,5.333333333333333,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS Williamson,34.75,128.3391843260264,24.674224386724383,29.945652173913043,34.75,0.0,30.25,51.0,6.0,31.0,28.4,0.0,22.636363636363637,8.5,8.5,0.0,11.5,27.625,12.5,32.0,40.77777777777778,0.0,0.0
KV Sharma,16.0,153.67647058823525,8.009615384615385,7.731372549019608,16.0,1.0,6.0,17.5,0.0,0.0,10.666666666666666,0.0,9.625,2.0,8.5,7.0,0.0,3.5,5.333333333333333,0.0,12.0,0.0,5.0
KW Richardson,26.0,130.0,10.5,6.333333333333333,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kamran Akmal,29.5,137.5,19.75,22.3,29.5,12.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamran Khan,3.0,60.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Karanveer Singh,2.0,40.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0
Kartik Tyagi,4.5,103.33333333333331,2.0,2.583333333333333,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
Kuldeep Yadav,1.25,6.944444444444445,7.7027777777777775,4.85,1.25,0.0,6.0,7.0,0.0,5.0,0.0,0.0,35.0,11.0,4.6,0.0,4.333333333333333,2.6666666666666665,0.0,0.0,8.25,6.0,1.3333333333333333
Kumar Kushagra,1.0,33.33333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
L Ablish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,9.0,128.57142857142858,3.7395833333333335,2.1875,9.0,15.0,0.0,2.6666666666666665,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
L Ronchi,2.0,50.0,6.8,6.8,2.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
L Wood,9.0,300.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,9.0,112.5,14.375,18.125,9.0,23.5,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
LA Pomersbach,16.0,96.70138888888889,19.20833333333333,17.453703703703706,16.0,7.0,0.0,17.333333333333332,0.0,0.0,0.0,0.0,16.0,0.0,29.333333333333332,0.0,0.0,1.0,0.0,0.0,34.0,0.0,33.0
LB Williams,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LE Plunkett,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LH Ferguson,18.0,138.46153846153845,11.25,10.916666666666666,18.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0
LJ Wright,2.0,33.33333333333333,18.625,20.75,2.0,0.0,0.0,31.5,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
LMP Simmons,46.833333333333336,113.44546395253944,34.9537037037037,43.06153846153846,46.833333333333336,0.0,0.0,29.0,0.0,0.0,76.66666666666667,0.0,7.25,0.0,0.0,0.0,0.0,37.333333333333336,4.0,8.0,63.5,0.0,42.0
LPC Silva,23.0,230.0,13.333333333333334,15.75,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LR Shukla,13.11111111111111,97.21801346801344,11.244444444444444,11.044871794871794,13.11111111111111,8.666666666666666,0.0,20.0,0.0,0.0,6.0,0.0,10.0,0.0,13.0,0.0,0.0,14.666666666666666,0.0,0.0,6.0,0.0,21.0
LRPL Taylor,20.11111111111111,103.78822412155746,18.49819624819625,17.107222222222223,20.11111111111111,10.666666666666666,0.0,25.0,0.0,0.0,12.5,2.0,24.142857142857142,0.0,15.25,22.666666666666668,0.0,15.142857142857142,0.0,0.0,37.0,0.0,19.0
LS Livingstone,39.66666666666666,191.8650793650794,23.863852813852816,21.833333333333336,39.666666666666664,0.0,22.285714285714285,0.0,0.0,33.333333333333336,0.0,0.0,13.333333333333334,23.0,19.2,0.0,25.0,17.333333333333332,0.0,0.0,21.6,8.5,39.25
Lalit Yadav,9.0,141.42857142857142,13.02777777777778,16.525,9.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,6.75,3.0,18.75,0.0,18.0,27.25,0.0,0.0,2.5,0.0,7.0
Liton Das,4.0,100.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,3.5,46.42857142857142,2.708333333333333,3.15,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5,0.0,4.666666666666667
M Jansen,17.0,73.91304347826086,6.178571428571429,4.5,17.0,0.0,2.0,0.0,0.0,5.5,0.0,0.0,0.75,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
M Kaif,12.0,119.5144724556489,11.648148148148149,14.9,12.0,25.5,0.0,7.0,0.0,0.0,6.0,0.0,23.333333333333332,0.0,8.0,8.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0
M Kartik,7.25,97.08333333333331,7.739583333333333,7.018518518518518,7.25,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,8.0,0.0,0.0,17.0,0.0,2.0
M Klinger,10.0,59.52380952380952,21.0,19.166666666666668,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
M Manhas,15.4,60.46345811051695,11.293333333333337,13.210526315789474,15.4,10.5,0.0,11.666666666666666,0.0,0.0,26.166666666666668,12.0,1.0,0.0,8.8,0.0,0.0,15.8,0.0,0.0,8.6,0.0,3.0
M Markande,3.5,80.3030303030303,5.125,5.5,0.0,0.0,0.0,3.5,0.0,18.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.5
M Morkel,2.0,50.0,4.783333333333333,6.214285714285714,2.0,7.666666666666667,0.0,0.0,1.0,0.0,11.0,0.0,3.0,0.0,11.0,0.5,0.0,4.0,0.0,0.0,7.666666666666667,0.0,0.0
M Muralitharan,0.5,25.0,2.1333333333333333,2.361111111111111,0.0,0.5,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,4.0,0.0,0.0
M Ntini,11.0,84.61538461538461,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
M Prasidh Krishna,0.0,0.0,1.4,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
M Rawat,8.0,114.28571428571428,5.083333333333333,5.333333333333333,8.0,0.0,0.0,3.0,0.0,0.0,13.5,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
M Shahrukh Khan,13.0,77.40350877192982,16.73766233766234,15.679629629629629,13.0,0.0,6.714285714285714,0.0,0.0,18.5,0.0,0.0,13.4,14.5,15.0,0.0,8.0,18.0,0.0,0.0,11.75,47.5,17.75
M Theekshana,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
M Vijay,26.66666666666667,102.53339850114044,26.705109990260368,22.690430402930406,26.666666666666668,13.0,10.0,30.454545454545453,48.5,0.0,23.428571428571427,22.0,19.692307692307693,0.0,21.68421052631579,23.5,0.0,32.25,0.0,56.0,26.266666666666666,0.0,20.428571428571427
M Vohra,15.6,104.76190476190476,21.15338827838828,19.078571428571426,15.6,0.0,9.0,19.285714285714285,20.0,0.0,0.0,0.0,24.1,0.0,21.8,32.5,12.0,14.0,14.0,51.0,16.333333333333332,0.0,25.375
M de Lange,1.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA Agarwal,15.411764705882351,104.21366775788636,20.33214776508894,20.3734835123724,15.411764705882353,11.666666666666666,34.8,16.0,0.0,10.5,19.428571428571427,33.0,20.0,16.5,24.61111111111111,9.0,21.0,30.23076923076923,0.0,0.0,25.833333333333332,0.0,17.0
MA Khote,9.0,180.0,8.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA Starc,2.6,72.85714285714286,8.585714285714285,5.541666666666667,2.6,0.0,1.0,0.0,0.0,0.0,18.5,0.0,12.0,0.0,2.3333333333333335,0.0,0.0,18.0,0.0,0.0,0.0,0.0,5.666666666666667
MA Wood,10.0,333.33333333333337,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MC Henriques,11.333333333333334,203.7037037037037,18.416666666666664,16.73230358504958,11.333333333333334,8.5,0.0,23.375,20.25,0.0,11.875,0.0,15.25,0.0,19.0,27.0,0.0,17.0,29.5,5.5,29.166666666666668,0.0,21.666666666666668
MC Juneja,2.0,66.66666666666666,17.857142857142858,21.6875,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,49.0,0.0,0.0,20.0,0.0,0.0,17.0,0.0,15.0
MD Mishra,8.5,68.18713450292398,18.428571428571427,14.106060606060607,8.5,0.0,0.0,11.0,0.0,0.0,20.0,37.0,29.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0
MD Shanaka,17.0,106.25,8.666666666666666,8.666666666666666,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
MDKJ Perera,14.0,116.66666666666669,7.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEK Hussey,20.0,66.23376623376625,33.30667388167388,29.23671679197995,20.0,27.0,0.0,29.375,0.0,0.0,41.833333333333336,20.0,40.142857142857146,0.0,25.8,25.0,0.0,50.0,0.0,0.0,31.22222222222222,0.0,56.0
MF Maharoof,19.0,172.72727272727272,15.233333333333334,13.4875,0.0,19.0,0.0,0.0,0.0,0.0,4.4,0.0,6.0,0.0,24.0,0.0,0.0,22.5,0.0,0.0,15.5,0.0,0.0
MG Bracewell,26.0,152.94117647058823,14.5,14.5,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0
MG Johnson,4.0,93.80952380952378,6.729166666666666,6.243197278911564,4.0,0.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,6.5,13.0,0.0,8.666666666666666,0.0,4.0
MJ Clarke,41.0,132.25806451612902,18.2,18.666666666666668,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,16.0,0.0,0.0,13.0,0.0,0.0
MJ Guptill,36.0,189.4736842105263,19.9375,16.892857142857142,0.0,0.0,36.0,49.0,4.5,0.0,0.0,0.0,12.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,12.5
MJ Lumb,33.5,159.3891402714932,19.857142857142858,20.166666666666664,33.5,30.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0
MJ McClenaghan,0.0,0.0,5.136363636363637,3.4944444444444445,0.0,0.0,10.0,0.5,1.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.25,0.0,2.75
MJ Santner,0.6666666666666666,44.44444444444444,6.111111111111111,7.166666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,16.5,0.0,10.0,5.5,0.0,0.0,0.0,3.0,0.0
MJ Suthar,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MK Lomror,14.0,48.27586206896552,14.516666666666667,14.533333333333331,14.0,0.0,20.166666666666668,0.0,0.0,8.5,9.0,0.0,19.0,16.666666666666668,4.0,0.0,14.6,12.25,0.0,0.0,25.0,0.0,16.5
MK Pandey,18.8,92.87832405511244,21.33967106967107,24.605370609782376,18.8,26.5,20.833333333333332,30.181818181818183,8.333333333333334,3.5,25.571428571428573,0.0,21.307692307692307,0.0,32.416666666666664,0.0,6.5,27.357142857142858,37.0,15.0,21.72222222222222,0.0,25.071428571428573
MK Tiwary,14.416666666666666,135.43723208541755,19.500276575276576,17.945183982683982,14.416666666666666,17.0,0.0,25.428571428571427,15.5,0.0,29.11111111111111,23.5,13.833333333333334,0.0,28.0,10.6,0.0,25.75,0.0,0.0,18.363636363636363,0.0,12.5
ML Hayden,27.2,124.84559884559886,33.87380952380952,33.78104575163399,0.0,27.2,0.0,45.25,0.0,0.0,38.0,0.0,23.666666666666668,0.0,42.833333333333336,0.0,0.0,25.5,0.0,0.0,34.666666666666664,0.0,0.0
MM Ali,12.0,105.1470588235294,17.85595238095238,21.767857142857142,12.0,0.0,16.571428571428573,1.0,0.0,22.0,4.0,0.0,26.833333333333332,28.0,24.2,0.0,14.666666666666666,24.875,0.0,0.0,19.75,0.0,20.375
MM Patel,0.0,0.0,2.5,3.4545454545454546,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM Sharma,2.0,66.66666666666666,3.7,4.590909090909091,2.0,0.0,2.0,10.0,2.5,0.0,1.0,0.0,3.2,0.0,4.8,0.0,0.0,0.0,6.0,0.0,5.2,0.0,4.0
MN Samuels,17.0,80.83333333333333,11.0625,10.814814814814817,17.0,2.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,27.0,0.0,17.0,0.0,5.0
MN van Wyk,37.0,77.08333333333334,32.5,27.125,0.0,0.0,0.0,37.0,0.0,0.0,18.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
MP Stoinis,27.0,141.5140415140415,22.84285714285714,22.698358585858585,27.0,0.0,14.833333333333334,37.0,22.333333333333332,16.0,34.0,0.0,13.25,0.0,24.285714285714285,0.0,26.8,17.583333333333332,0.0,0.0,24.3,24.0,15.571428571428571
MR Marsh,12.2,101.4423076923077,18.51025641025641,14.0,12.2,37.0,0.0,13.0,7.0,4.0,10.666666666666666,0.0,5.0,18.5,19.0,0.0,28.666666666666668,49.0,0.0,0.0,12.8,0.0,23.8
MS Bisla,46.4,121.44272872721147,18.525,15.208974358974356,46.4,9.666666666666666,0.0,3.3333333333333335,0.0,0.0,22.25,16.0,20.0,0.0,12.25,6.5,0.0,15.875,0.0,0.0,30.0,0.0,21.5
MS Dhoni,28.1,102.0935014060014,21.109056537513137,20.79378466158041,0.0,28.1,18.5,25.63157894736842,20.75,9.6,28.333333333333332,11.5,19.857142857142858,15.0,21.333333333333332,27.0,12.333333333333334,23.041666666666668,0.0,0.0,27.06451612903226,25.0,24.7
MS Gony,2.0,25.0,8.61111111111111,5.733333333333333,2.0,15.0,0.0,9.5,0.0,0.0,3.0,0.0,42.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
