batter,avg_total_runs,avg_strike_rate,avg_runs_vs_Chennai Super Kings,avg_runs_vs_Deccan Chargers,avg_runs_vs_Delhi Capitals,avg_runs_vs_Delhi Daredevils,avg_runs_vs_Gujarat Lions,avg_runs_vs_Gujarat Titans,avg_runs_vs_Kings XI Punjab,avg_runs_vs_Kochi Tuskers Kerala,avg_runs_vs_Kolkata Knight Riders,avg_runs_vs_Lucknow Super Giants,avg_runs_vs_Mumbai Indians,avg_runs_vs_Pune Warriors,avg_runs_vs_Punjab Kings,avg_runs_vs_Rajasthan Royals,avg_runs_vs_Rising Pune Supergiant,avg_runs_vs_Rising Pune Supergiants,avg_runs_vs_Royal Challengers Bangalore,avg_runs_vs_Royal Challengers Bengaluru,avg_runs_vs_Sunrisers Hyderabad,avg_runs_at_stadium,avg_runs_vs_team
R Vinay Kumar,3.4,196.66666666666669,3.4,9.25,0.0,7.0,1.0,0.0,1.0,0.0,12.5,0.0,12.5,1.0,0.0,8.428571428571429,0.0,12.0,4.333333333333333,0.0,3.5,6.317460317460317,6.3259920634920634
RA Bawa,11.0,84.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5
RA Jadeja,19.8,125.13081345898681,19.8,17.833333333333332,19.875,17.1875,0.0,14.166666666666666,18.266666666666666,0.0,17.576923076923077,23.25,13.478260869565215,31.25,15.5,15.3125,19.0,2.0,12.652173913043478,33.5,15.058823529411764,19.34491943241943,17.982814591506482
RA Tripathi,23.0,115.04648048730382,23.0,0.0,17.0,10.25,19.5,11.333333333333334,16.833333333333332,0.0,30.153846153846153,32.666666666666664,22.7,0.0,35.285714285714285,25.71428571428572,0.0,0.0,27.0,0.0,23.428571428571427,25.10708180708181,22.681980839673148
RD Chahar,6.0,72.0,6.0,0.0,14.333333333333334,0.0,3.0,22.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.3333333333333335,4.423076923076923,6.066666666666666
RD Gaikwad,29.75,95.48952036955133,0.0,0.0,29.75,0.0,0.0,50.0,62.0,0.0,40.875,45.75,29.75,0.0,25.571428571428573,30.0,0.0,0.0,30.666666666666668,7.5,56.28571428571428,33.98160774410775,37.10443722943723
RE Levi,50.0,138.88888888888889,50.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.166666666666668,16.3
RE van der Merwe,6.333333333333333,56.78571428571428,6.333333333333333,27.5,0.0,0.0,0.0,0.0,21.5,2.0,5.0,0.0,5.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,8.851851851851851,10.904761904761905
RG More,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
RG Sharma,26.35294117647059,106.90258891708565,26.35294117647059,43.75,27.75,30.47826086956522,20.5,25.0,27.958333333333332,0.0,32.42424242424242,27.5,20.6,22.5,29.833333333333332,19.535714285714285,21.5,46.0,25.580645161290324,38.0,19.08695652173913,24.008150246218428,28.019468172538257
RJ Gleeson,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
RJ Harris,5.333333333333333,70.83333333333333,5.333333333333333,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,6.25,4.0,0.0,2.0,0.0,0.0,9.2,0.0,0.0,5.826388888888889,4.347916666666666
RJ Peterson,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875,6.4
RJ Quiney,28.0,87.5,28.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,3.5,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.625,18.9
RJW Topley,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
RK Bhui,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,2.5
RK Singh,24.166666666666668,94.03920153920154,24.166666666666668,0.0,16.5,0.0,0.0,34.0,0.0,0.0,0.0,32.25,13.166666666666666,0.0,10.0,20.25,0.0,0.0,23.333333333333332,14.5,32.4,20.910718954248367,22.05666666666667
RM Patidar,20.666666666666668,95.84313725490195,20.666666666666668,0.0,41.5,0.0,0.0,27.0,0.0,0.0,18.666666666666668,70.5,29.0,0.0,32.5,36.0,0.0,0.0,0.0,0.0,35.666666666666664,39.666666666666664,34.611111111111114
RN ten Doeschate,38.0,135.71428571428572,38.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,0.0,0.0,44.0,36.5,0.0,3.5,0.0,0.0,8.0,0.0,8.5,20.54047619047619,19.6875
RP Meredith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP Singh,2.8,96.66666666666666,2.8,0.0,0.0,0.8571428571428571,0.0,0.0,2.0,0.0,3.3333333333333335,0.0,2.6666666666666665,0.0,0.0,1.75,0.0,0.0,1.0,0.0,0.0,1.6333333333333333,1.6007936507936509
RR Bhatkal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Pant,34.09090909090909,148.77131896705853,34.09090909090909,0.0,0.0,0.0,47.5,49.0,16.22222222222222,0.0,24.4375,39.25,25.125,0.0,13.5,36.36363636363637,33.5,3.0,35.083333333333336,0.0,33.8125,29.52787356321839,30.068084693084693
RR Powar,12.333333333333334,157.77777777777777,12.333333333333334,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,7.380952380952381,6.805555555555555
RR Raje,6.0,103.57142857142857,0.0,6.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5
RR Rossouw,15.5,74.52502502502503,15.5,0.0,0.0,0.0,0.0,5.666666666666667,0.0,0.0,26.0,30.0,8.333333333333334,0.0,43.5,18.0,0.0,0.0,35.0,61.0,31.5,23.992424242424242,27.45
RR Sarwan,20.0,90.9090909090909,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,18.25,18.25
RS Bopara,11.5,79.58333333333333,11.5,38.0,0.0,34.0,0.0,0.0,0.0,0.0,5.666666666666667,0.0,10.0,0.0,0.0,16.8,0.0,0.0,67.66666666666667,0.0,0.0,25.6,22.954166666666666
RS Gavaskar,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
RS Sodhi,4.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
RT Ponting,3.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,9.5,9.142857142857142
RV Gomez,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.5,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7.0476190476190474,5.857142857142857
RV Patel,11.333333333333334,117.5,11.333333333333334,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,11.25,12.333333333333334
RV Uthappa,24.863636363636363,111.93748073392035,24.863636363636363,13.8,25.833333333333332,27.952380952380953,37.0,3.0,27.0,31.0,20.214285714285715,50.0,22.76923076923077,0.0,5.333333333333333,22.529411764705884,87.0,2.0,31.227272727272727,0.0,27.57894736842105,25.73502326550455,27.00599013685883
Rahmanullah Gurbaz,1.0,20.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,10.0,8.0,0.0,18.5,18.0,0.0,0.0,57.0,0.0,15.5,16.52777777777778,22.0
Ramandeep Singh,13.0,108.33333333333331,13.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,12.0,25.0,9.5,0.0,6.0,1.0,0.0,0.0,6.0,24.0,24.5,12.038095238095238,12.85
Rashid Khan,16.125,180.3075396825397,16.125,0.0,9.777777777777779,0.0,0.0,0.0,2.3333333333333335,0.0,8.6,0.0,9.25,0.0,2.0,9.666666666666666,3.0,0.0,8.5,18.0,10.333333333333334,9.731944444444444,8.132175925925926
Rasikh Salam,6.0,120.83333333333333,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,6.666666666666667,7.375
Ravi Bishnoi,2.0,100.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.6666666666666667,0.0,2.0,0.0,1.5,0.0,0.0,0.0,2.6666666666666665,0.0,6.0,2.388888888888889,2.5476190476190474
S Anirudha,9.333333333333334,107.5,0.0,9.333333333333334,0.0,0.0,0.0,0.0,0.5,0.0,33.5,0.0,7.5,3.5,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714,12.055555555555557
S Aravind,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,7.5,0.0,5.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,5.541666666666667,5.5625
S Badree,3.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8888888888888886,3.0
S Badrinath,10.875,98.05447770386793,0.0,10.875,0.0,23.125,0.0,0.0,30.625,16.0,34.333333333333336,0.0,22.928571428571427,39.8,0.0,19.25,0.0,0.0,12.777777777777779,0.0,0.0,26.07873015873016,23.30163139329806
S Chanderpaul,7.0,58.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,8.333333333333334
S Dhawan,36.44827586206897,112.88305868677251,36.44827586206897,23.600000000000005,11.4,34.8,25.399999999999995,26.5,30.541666666666668,4.0,29.25806451612903,25.333333333333332,32.17857142857143,20.25,80.5,28.291666666666668,24.5,44.5,28.291666666666668,45.0,31.5,32.92498912540929,30.647012902110674
S Dube,26.25,99.15760869565217,26.25,0.0,18.875,0.0,0.0,20.428571428571427,17.5,0.0,28.166666666666668,36.25,21.9,0.0,19.333333333333332,26.0,0.0,0.0,64.33333333333333,20.5,17.833333333333332,25.444660894660895,26.44751984126984
S Gopal,9.0,117.14285714285714,9.0,0.0,7.25,11.0,0.0,0.0,8.333333333333334,0.0,11.5,0.0,4.666666666666667,0.0,0.0,1.0,0.0,2.0,7.0,0.0,18.0,8.446428571428571,7.975
S Kaul,7.0,77.77777777777779,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.75,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.761904761904762,2.9583333333333335
S Kaushik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Ladda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Lamichhane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Nadeem,3.3333333333333335,55.357142857142854,3.3333333333333335,0.0,2.0,0.0,0.0,0.0,1.5,0.0,3.3333333333333335,0.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.976923076923077,2.1296296296296298
S Narwal,2.0,100.0,2.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,6.5
S Rana,3.0,66.66666666666667,3.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0,18.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,10.944444444444445,11.583333333333334
S Randiv,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
S Sohal,20.333333333333332,99.8989898989899,20.333333333333332,19.5,0.0,32.5,0.0,0.0,7.0,1.0,25.5,0.0,17.0,17.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,20.228571428571428,17.98333333333333
S Sreesanth,0.0,0.0,0.0,6.0,0.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.25
S Sriram,4.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5
S Tyagi,3.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
S Vidyut,47.0,151.05263157894737,0.0,0.0,0.0,47.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,18.53333333333333,16.1
SA Abbott,7.0,140.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.333333333333333,7.333333333333333
SA Asnodkar,27.4,124.01553166069296,27.4,22.0,0.0,18.333333333333332,0.0,0.0,6.0,0.0,23.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,18.604166666666668,21.39047619047619
SA Yadav,22.666666666666668,91.55905555966402,22.666666666666668,0.0,22.363636363636363,18.857142857142858,7.333333333333333,50.0,19.0,0.0,37.25,15.666666666666664,20.428571428571427,0.0,46.166666666666664,33.142857142857146,30.0,60.0,25.0,52.0,25.529411764705884,26.83255053873687,28.553232522955707
SB Bangar,8.0,57.14285714285714,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,17.0,0.0,0.0,8.066666666666666,7.7
SB Dubey,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
SB Jakati,7.0,97.22222222222221,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.6,5.666666666666667
SB Joshi,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
SB Styris,28.0,92.85714285714285,28.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,12.25,14.055555555555555
SB Wagh,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SC Ganguly,11.285714285714286,61.49613691630499,11.285714285714286,32.7,0.0,25.666666666666668,0.0,0.0,33.57142857142857,0.0,19.666666666666668,0.0,18.125,0.0,0.0,31.625,0.0,0.0,13.857142857142856,0.0,0.0,22.83533834586466,23.31220238095238
SD Chitnis,11.0,91.66666666666666,11.0,8.5,0.0,20.5,0.0,0.0,15.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,11.666666666666666
SD Hope,12.0,136.66666666666669,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,24.5,41.0,0.0,33.0,1.0,0.0,0.0,0.0,29.0,0.0,19.875,20.928571428571427
SD Lad,15.0,115.38461538461536,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
SE Bond,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SE Marsh,42.285714285714285,128.73522630524914,42.285714285714285,31.666666666666668,0.0,31.285714285714285,29.666666666666668,0.0,0.0,42.0,26.571428571428573,0.0,43.833333333333336,32.333333333333336,0.0,60.142857142857146,10.0,4.0,26.6,0.0,35.75,32.74449404761905,32.010439560439565
SE Rutherford,6.0,66.66666666666667,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,28.0,0.0,9.0,11.527777777777779,13.666666666666666
SH Johnson,5.0,100.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SJ Srivastava,2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.0
SK Raina,31.0,135.44226872176424,0.0,31.0,38.5,23.045454545454547,0.0,0.0,35.73913043478261,34.5,36.04347826086956,0.0,24.235294117647058,21.166666666666668,8.0,27.391304347826086,21.5,29.0,24.20689655172414,0.0,23.842105263157894,29.334370015948963,27.012166442009182
SK Trivedi,2.0,66.66666666666666,2.0,5.0,0.0,4.25,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.05,2.5357142857142856
SK Warne,8.25,81.06060606060606,8.25,11.0,0.0,5.166666666666667,0.0,0.0,19.5,2.0,5.666666666666667,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7.222222222222222,7.385416666666667
SL Malinga,3.6,40.0,3.6,0.0,0.0,8.5,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.5,0.0,2.25,7.0,0.0,3.0,0.0,0.0,4.597222222222222,4.761111111111112
SM Curran,13.6,79.15584415584416,13.6,0.0,18.625,0.0,0.0,15.666666666666666,0.0,0.0,19.833333333333332,9.0,27.8,0.0,5.0,24.428571428571427,0.0,0.0,3.6666666666666665,22.5,20.4,15.878947368421052,16.410930735930734
SM Harwood,6.0,85.71428571428571,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5
SM Katich,26.333333333333332,128.35595776772246,26.333333333333332,10.0,0.0,47.5,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,22.0,18.69047619047619
SM Pollock,17.0,94.44444444444444,17.0,31.0,0.0,24.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,16.833333333333332,18.583333333333332
SMSM Senanayake,7.0,53.84615384615385,7.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,3.1666666666666665
SN Khan,21.833333333333332,109.40476190476191,21.833333333333332,0.0,25.5,6.0,0.0,30.0,5.0,0.0,9.5,20.0,12.5,0.0,22.0,20.0,0.0,2.0,7.5,0.0,19.0,15.112433862433862,15.448717948717949
SN Thakur,24.0,126.3157894736842,24.0,0.0,0.0,7.0,0.0,1.25,0.0,0.0,13.333333333333334,2.0,9.285714285714286,0.0,9.333333333333334,4.0,0.0,0.0,21.5,1.0,8.75,7.380392156862745,7.804029304029304
SO Hetmyer,18.166666666666668,98.99656548779355,18.166666666666668,0.0,18.0,0.0,0.0,20.0,8.5,0.0,11.375,22.0,12.375,0.0,31.2,24.666666666666668,0.0,0.0,22.25,18.5,22.0,19.327817460317462,19.086111111111112
SP Fleming,14.0,111.17647058823529,0.0,14.0,0.0,28.5,0.0,0.0,1.0,0.0,32.0,0.0,26.0,0.0,0.0,3.5,0.0,0.0,45.0,0.0,0.0,22.0,21.428571428571427
SP Goswami,9.0,95.32163742690057,9.0,3.0,0.0,30.666666666666668,0.0,0.0,10.0,0.0,26.6,0.0,5.25,6.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,15.25,10.112962962962964
SP Jackson,3.0,100.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,11.5,8.0,7.071428571428571
SP Narine,9.461538461538462,110.879917184265,9.461538461538462,0.0,19.6,7.2,22.0,2.5,17.0,0.0,0.0,26.2,4.25,0.0,20.25,19.76923076923077,8.0,0.0,23.2,28.5,8.4375,17.133981926103775,15.454876373626373
SPD Smith,26.416666666666668,112.64798030542916,26.416666666666668,36.5,25.0,24.75,38.25,0.0,24.083333333333332,0.0,22.25,0.0,31.399999999999995,0.0,16.5,27.5,0.0,0.0,25.428571428571427,0.0,27.90909090909091,25.64606227106227,27.16563852813853
SR Tendulkar,30.666666666666668,92.40283699870166,30.666666666666668,28.75,0.0,29.4,0.0,0.0,27.0,100.0,32.6,0.0,0.0,30.4,0.0,34.125,0.0,0.0,22.416666666666668,0.0,26.0,30.71751207729469,36.13583333333333
SR Watson,40.0,140.07067636203666,40.0,20.0,28.8,29.76923076923077,2.3333333333333335,0.0,26.411764705882348,34.5,29.94117647058824,0.0,21.181818181818183,41.25,0.0,33.166666666666664,14.0,18.5,20.533333333333335,0.0,31.444444444444443,29.94905909506315,26.122117860353153
SS Cottrell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS Iyer,22.307692307692307,91.4341535329577,22.307692307692307,0.0,36.75,0.0,55.0,12.0,27.090909090909093,0.0,32.857142857142854,29.25,21.555555555555557,0.0,27.0,33.27272727272727,3.0,8.0,25.333333333333332,44.5,26.944444444444443,29.336430206987238,26.99078699078699
SS Prabhudessai,26.5,162.3015873015873,26.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,12.095238095238095,12.25
SS Shaikh,6.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
SS Tiwary,19.4,94.4059740339881,19.4,17.6,15.0,24.666666666666668,1.0,0.0,10.4,26.0,19.5,0.0,22.666666666666668,28.0,45.0,25.714285714285715,0.0,0.0,29.4,0.0,12.0,18.537523809523808,21.16768707482993
ST Jayasuriya,47.5,169.60691823899373,47.5,15.0,0.0,26.75,0.0,0.0,6.25,0.0,31.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,33.2,0.0,0.0,25.203125,25.557142857142857
STR Binny,21.625,127.36323432535069,21.625,7.0,9.5,14.6,21.0,0.0,13.6,0.0,7.2,0.0,13.666666666666666,13.0,0.0,0.0,9.5,0.0,13.333333333333334,0.0,13.11111111111111,13.861785714285714,13.094675925925925
SV Samson,15.266666666666667,79.65177133655395,15.266666666666667,0.0,26.2,25.0,22.75,38.333333333333336,32.0,0.0,26.45,40.0,26.130434782608695,10.0,32.285714285714285,0.0,52.0,15.0,18.238095238095237,43.0,34.82608695652174,27.84637521675337,28.592520703933747
SW Billings,25.0,113.63636363636363,25.0,0.0,15.0,1.0,0.0,4.0,14.0,0.0,43.666666666666664,36.0,10.0,0.0,24.0,15.0,24.0,24.0,13.0,0.0,15.666666666666666,17.892857142857142,18.88095238095238
SW Tait,1.0,100.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6,4.6
SZ Mulani,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sachin Baby,12.0,120.0,0.0,0.0,0.0,12.0,0.0,0.0,33.0,0.0,11.5,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.25,13.180555555555557,13.678571428571429
Salman Butt,73.0,130.35714285714286,73.0,4.0,0.0,48.0,0.0,0.0,24.0,0.0,0.0,0.0,13.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,16.5625,29.583333333333332
Sameer Rizvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,5.888888888888889,10.2
Sandeep Sharma,1.0,37.5,1.0,0.0,1.0,1.5,1.0,2.0,0.0,0.0,1.5,0.0,1.25,0.0,0.0,8.0,0.0,0.0,4.2,0.0,2.0,2.2142857142857144,2.131818181818182
Sanvir Singh,7.0,116.66666666666669,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,4.75
Saurav Chauhan,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Shahbaz Ahmed,15.8,108.28070175438597,15.8,0.0,28.0,0.0,0.0,12.0,0.0,0.0,9.571428571428571,26.0,4.0,0.0,7.833333333333333,18.8,0.0,0.0,0.0,40.0,11.666666666666666,14.860416666666666,17.36714285714286
Shahid Afridi,10.5,191.66666666666669,10.5,0.0,0.0,17.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,1.0,0.0,0.0,12.04,7.916666666666667
Shakib Al Hasan,15.5,113.64661654135338,15.5,0.0,0.0,15.5,23.333333333333332,0.0,16.166666666666668,2.0,21.666666666666668,0.0,10.2,42.0,0.0,16.0,0.0,3.0,21.714285714285715,0.0,3.6666666666666665,12.585964912280703,14.672893772893774
Shashank Singh,22.333333333333332,109.43562610229277,22.333333333333332,0.0,5.0,0.0,0.0,31.333333333333332,0.0,0.0,39.5,9.0,41.0,0.0,0.0,4.5,0.0,0.0,8.0,29.0,24.0,23.191666666666666,21.366666666666667
Shivam Mavi,10.0,71.42857142857143,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,6.5,4.444444444444445,4.0
